,job_title,common_job_title, Job_Family
1772,dept 231 technical specialist,technical specialist, Computer Support Specialist
1773,customer billing support specialist,customer support specialist, Computer Support Specialist
1774,help desk technician internship,help desk technician, Computer Support Specialist
1775,agile java developer devops,java developer, Software/Application Developer
1776,business tax systems analyst,systems analyst, Information Technology Analyst
1777,dba system administrator,system administrator, Computer Support Specialist
1778,programmer programmer,programmer, Software/Application Developer
1779,technical support specialist amazon,technical support specialist, Computer Support Specialist
1780,technology support specialist microsoft,technology support specialist, Computer Support Specialist
1781,network engineer ssr2,network engineer, Computer Network Specialist
1783,technical support specialist 3rd level,technical support specialist, Computer Support Specialist
1784,software engineer web,software engineer, Software/Application Developer
1787,capital one help desk technician,help desk technician, Computer Support Specialist
1788,wash technology analyst,technology analyst, Computer Network Specialist
1789,field systems administrator,systems administrator, Computer Support Specialist
1790,adabas database administrator,database administrator, Database Administrator
1792,microsoft global help desk technician,help desk technician, Computer Support Specialist
1793,technical specialist plm,technical specialist, Computer Support Specialist
1794,profile application developer,application developer, Software/Application Developer
1795,technical specilist,technical specialist, Computer Support Specialist
1796,software developer gtech,software developer, Software/Application Developer
1797,software engineer crm,software engineer, Software/Application Developer
1800,software engineer hcl,software engineer, Software/Application Developer
1803,software engineer sql dba,software engineer, Software/Application Developer
1806,technical specialist vmware,technical specialist, Computer Support Specialist
1807,role web developer,web developer, Web Developer
1809,working oracle database administrator,database administrator, Database Administrator
1811,technical specialist hcl america,technical specialist, Computer Support Specialist
1812,sybase mongodb database administrator,database administrator, Database Administrator
1814,technical specialist voip,technical specialist, Computer Support Specialist
1815,software engineer linux,software engineer, Software/Application Developer
1818,technichal support engineer,technical support engineer, Computer Support Specialist
1819,business analyst application support,application support analyst, Information Technology Analyst
1820,technical specialist vmware windows,technical specialist, Computer Support Specialist
1821,technical specialist tier3,technical specialist, Computer Support Specialist
1822,technical specialist sql dba,technical specialist, Computer Support Specialist
1823,technical specialist technical,technical specialist, Computer Support Specialist
1824,analyst application support,application support analyst, Information Technology Analyst
1825,chennai technical specialist,technical specialist, Computer Support Specialist
1826,linux aix system administrator,system administrator, Computer Support Specialist
1827,software engineer bangalore,software engineer, Software/Application Developer
1830,bangalore software engineer,software engineer, Software/Application Developer
1833,software engineer vlsi domain,software engineer, Software/Application Developer
1836,technology analyst biomérieux,technology analyst, Computer Network Specialist
1837,technical support engineer field trainer,technical support engineer, Computer Support Specialist
1838,oracle cloud erp consultant,cloud consultant, Cloud Computing Engineer
1839,software analyst quality assurance full time,software quality assurance analyst, Software/Application Developer
1840,technical support engineer dl1,technical support engineer, Computer Support Specialist
1841,softeware engineer,software engineer, Software/Application Developer
1844,technical support lvl sql engineer,technical support engineer, Computer Support Specialist
1845,technical specialist uae,technical specialist, Computer Support Specialist
1846,systems analyst staff,systems analyst, Information Technology Analyst
1847,software developer bangaluru,software developer, Software/Application Developer
1848,core java developer ericson,java developer, Software/Application Developer
1849,programmer analyst team leader,programmer analyst, Software/Application Developer
1851,core java developer,java developer, Software/Application Developer
1852,sql database adminstrator,database administrator, Database Administrator
1854,software enngineer,software engineer, Software/Application Developer
1857,thdk network engineer,network engineer, Computer Network Specialist
1859,technical support engineer microsoft,technical support engineer, Computer Support Specialist
1860,application developer wcs,application developer, Software/Application Developer
1861,technical support engineer dell,technical support engineer, Computer Support Specialist
1862,application support analyst offshore,application support analyst, Information Technology Analyst
1863,software engineer madiwala,software engineer, Software/Application Developer
1866,3rd line technical support engineer,technical support engineer, Computer Support Specialist
1867,technical specialist nms,technical specialist, Computer Support Specialist
1868,role software developer,software developer, Software/Application Developer
1869,angularjs front end developer,front end developer, Web Developer
1870,microsoft sql database administrator,database administrator, Database Administrator
1872,software engineer firmware,software engineer, Software/Application Developer
1875,svc software engineer,software engineer, Software/Application Developer
1878,reactjs application developer,application developer, Software/Application Developer
1879,remote customer support specialist,customer support specialist, Computer Support Specialist
1880,marketing web administrator,web administrator, Web Developer
1882,noc network engineer,network engineer, Computer Network Specialist
1884,software engineer oneview,software engineer, Software/Application Developer
1887,test software developer,software developer, Software/Application Developer
1888,systems software engineer remote,systems software engineer, Software/Application Developer
1890,principle systems software engineer,systems software engineer, Software/Application Developer
1892,technical support engineer ito,technical support engineer, Computer Support Specialist
1893,desktop support specialists,desktop support specialist, Computer Support Specialist
1894,window application developer,application developer, Software/Application Developer
1895,india technical support engineer,technical support engineer, Computer Support Specialist
1896,training advisor•web administrator,web administrator, Web Developer
1898,j2ee software engineer,software engineer, Software/Application Developer
1901,software developed,software developer, Software/Application Developer
1902,technical support engineer wwarc,technical support engineer, Computer Support Specialist
1903,system analyst builder,system analyst, Information Technology Analyst
1904,cno software developer,software developer, Software/Application Developer
1905,staff help desk specialist,help desk specialist, Computer Support Specialist
1906,staff systems administrator,systems administrator, Computer Support Specialist
1907,staff system administrator,system administrator, Computer Support Specialist
1908,system administratoe,system administrator, Computer Support Specialist
1909,telecommunications systems specialist,telecommunications specialist, Computer Network Specialist
1910,premiere support specialist,support specialist, Computer Support Specialist
1912,pss help desk technician,help desk technician, Computer Support Specialist
1913,analyst software quality assurance,software quality assurance analyst, Software/Application Developer
1914,field technology support specialist,technology support specialist, Computer Support Specialist
1915,field technology analyst,technology analyst, Computer Network Specialist
1916,epic technical support specialist,technical support specialist, Computer Support Specialist
1917,sql developer java developer,java developer, Software/Application Developer
1918,level banking application support analyst,application support analyst, Information Technology Analyst
1919,pki support specialist,support specialist, Computer Support Specialist
1921,software engineers,software engineer, Software/Application Developer
1924,database administator,database administrator, Database Administrator
1926,plenum systems analyst,systems analyst, Information Technology Analyst
1927,role title computer programmer,computer programmer, Software/Application Developer
1928,software engineer sap hcm,software engineer, Software/Application Developer
1931,software developer dev,software developer, Software/Application Developer
1932,1st line technology analyst,technology analyst, Computer Network Specialist
1933,hybrid cloud architect,cloud architect, Cloud Computing Engineer
1934,unix technical support specialist,technical support specialist, Computer Support Specialist
1935,system analyst j2ee,system analyst, Information Technology Analyst
1936,technology support specialist full time,technology support specialist, Computer Support Specialist
1937,chennai database administrator,database administrator, Database Administrator
1939,software engineer handling,software engineer, Software/Application Developer
1942,sidg java developer,java developer, Software/Application Developer
1943,technology support specialist years,technology support specialist, Computer Support Specialist
1944,hpc software engineer,software engineer, Software/Application Developer
1947,network engineering,network engineer, Computer Network Specialist
1949,newtwork engineer,network engineer, Computer Network Specialist
1951,application developer dba,application developer, Software/Application Developer
1952,core software developer,software developer, Software/Application Developer
1953,technical support engineer rnam,technical support engineer, Computer Support Specialist
1954,system analytic,system analyst, Information Technology Analyst
1955,technical support engineer iiitac,technical support engineer, Computer Support Specialist
1956,team network architect,network architect, Computer Network Specialist
1958,usa technical support engineer,technical support engineer, Computer Support Specialist
1959,tester webmaster,webmaster, Web Developer
1960,software embedded engineer,software engineer, Software/Application Developer
1963,technology technology support specialist,technology support specialist, Computer Support Specialist
1964,software engineer full time,software engineer, Software/Application Developer
1967,technical suport engineer,technical support engineer, Computer Support Specialist
1968,help desk technician tier,help desk technician, Computer Support Specialist
1969,remote technology support specialist,technology support specialist, Computer Support Specialist
1970,sql application developer,application developer, Software/Application Developer
